id,log_price
14282777,5.018802110522358
17029381,5.566314708947871
7824740,4.975941462593028
19811650,5.521203557958145
19589738,4.585634647856395
15470255,4.976421079166741
6128434,4.904115472795311
18358465,4.593494998551435
8760362,3.7032344960773997
11755946,4.304395510714599
8327302,5.20840828117862
13884363,4.31825186730255
6103273,5.424632109552803
18724232,4.575080697916704
19086978,4.136167259832376
6834210,4.331678927192243
9013556,4.437510321179332
11759260,4.895785530401426
8382187,5.61384873933018
1840445,4.350202472228034
15202859,4.285999284401825
18361399,4.838053511187766
17881079,4.302691978229021
16227150,5.090212950635788
9770459,5.39792381033115
4341518,4.8733634498975675
10516580,5.155226434190098
16416474,4.772956674605709
5085892,4.40171525755882
13697587,4.366915404722121
12158766,4.285382608667902
5386312,5.010873788854852
17692345,4.094590553188382
16026765,4.918342585999497
18505615,4.200722314362238
2262885,4.557117987523256
16674812,4.281831286919612
1628130,4.929351739746295
15379798,4.399811008233613
20173503,5.236478009292938
21173342,4.017269465306853
10019796,4.196005086289759
13116069,5.150202443489334
16245464,4.956268062501195
2298801,5.030836019679597
884803,4.973644035375017
16480090,4.405473744721192
9855805,4.378278571761413
11407704,4.213969148346706
15572980,4.075235917696844
8457785,5.017897379341349
4115403,5.899608172304724
10138784,4.976420327885123
16592678,4.38595625814402
20754111,4.9567338723830545
19808904,4.980628191860973
16240085,4.7633707015807545
16390897,5.2363084985873485
15217021,5.265707964715034
2899177,4.159589374460367
823880,6.405811802858707
17960485,4.497438026948785
17843177,4.852537133935684
20872950,5.256539425690974
12028495,4.967951697980681
14824136,5.356143823984965
9168809,4.394633778275846
16490010,4.956435836575764
752084,4.806066652870939
1391683,4.190434025034008
13862932,4.3654453624119895
18969917,4.848411033736241
2536255,4.432768209438535
7401453,3.8505463490202345
8048838,4.529353236847754
17094930,5.419460237549984
1213652,5.062765876593687
18650533,5.000177742483729
18428776,4.324706837528012
3497750,4.683804181315693
12784763,4.767623814579551
10166945,5.406284884217669
17024368,5.007216320465389
10550345,4.495958826885911
12135309,5.253387794389212
17845579,4.111592310629774
17887871,4.398858803190279
20310828,4.7617202613758565
16367772,5.468438425145493
14007277,5.128021123044661
10187948,4.935098085401094
1979502,5.179577518925242
7010681,4.200188255354831
16487475,4.557690838783529
6329731,4.274052406662847
16633430,4.670277453686623
1586489,4.328598223244995
14556587,5.88918878725714
20332537,5.608412959833245
19504228,4.340023821667501
7124926,4.230278298595053
724656,4.996886488365661
17857598,5.346251527807695
7198878,4.295535522578817
1954429,4.411946389852446
18947464,5.257983512511444
555596,4.200053066860477
8687518,4.578438297164098
2754975,3.7532868454409254
15591048,4.893691841589046
68403,4.879748728236933
16123133,4.277124592458037
16545677,5.5962817046752065
9909328,5.632818871296465
15507297,4.399005411198928
